"Dia","m05","m10","m15","h01","h04","h24","h96","Estacao","estacao_id"
2009-02-16 11:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 11:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 10:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 10:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 10:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 10:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 09:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 09:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 09:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 09:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 08:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 08:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 08:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 08:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 07:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 07:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 07:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 07:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 06:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 06:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 06:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 06:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 05:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 05:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 05:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 05:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 04:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
